58,1025,492,569,588,820,857,1059,3540,3651
58,492,569,588,857,1059,1025,3651,819,820
1025,569,588,1059,3651,492,820,827,1987,2033
569,588,1059,1025,3651,492,819,820,827,2033
1025,569,1059,3651,492,588,820,827,2033,3217
1025,470,492,559,569,588,598,645,647,652
58,645,647,652,656,19,20,2563,2571,2587
645,647,656,652,19,2571,2587,2595,2603,2611
645,647,652,656,802,803,815,470,492,559
1025,470,492,559,569,588,58,598,724,1086
559,58,645,647,656,470,598,652,1086,3704
58,645,647,652,656,470,559,598,1086,3741
58,645,647,652,656,470,559,598,1086,678
58,645,647,652,656,470,559,598,721,725
1025,1059,3651,569,3139,2883,2915,2929,2945,2947
470,492,559,569,588,58,598,645,647,652
58,645,647,652,656,470,559,598,721,724
559,470,598,1086,1229,3704,3741,19,2571,2587
907,2203,3427,3467,569,897,905,1921,1923,1953
1025,470,492,559,569,588,598,1059,1086,348
678,45,757,927,193,197,199,205,206,207
645,647,652,656,58,803,811,815,802,804
647,656,645,652,803,802,811,812,815,1
645,647,652,656,803,811,815,802,804,812
645,647,652,656,803,815,802,804,811,812
645,647,652,656,803,811,815,802,804,812
58,645,647,652,656,470,559,598,678,3704
645,647,652,656,678,724,725,837,199,757
470,559,58,645,647,652,656,721,724,725
58,1025,492,569,588,678,820,827,857,213
559,569,58,645,647,652,656,1025,3651,3741
19,2561,2563,2564,2569,2570,2571,2577,2578,2579
98,2188,1025,492,776,820,905,914,934,937
470,559,598,645,647,652,656,724,89,90
58,721,725,98,1025,492,569,588,678,820
470,559,598,645,647,652,656,724,1086,3704
58,721,725,98,1025,492,569,588,678,723
470,492,559,569,588,598,645,647,652,656
559,58,645,647,652,656,721,470,492,569
58,645,647,652,656,721,724,725,98,470
1025,569,98,2188,3651,492,820,897,914,919
19,20,2563,2564,2569,2571,2577,2580,2587,2588
1025,470,492,559,569,588,598,645,647,652
721,725,98,1025,492,569,588,820,1059,2188
721,725,98,1025,492,569,588,820,1059,2188
1025,470,492,559,564,569,588,598,609,1059
58,645,647,652,656,724,470,559,598,81
58,645,647,652,656,724,470,559,598,678
58,645,647,652,656,724,470,559,598,678
58,645,647,652,656,724,470,559,598,81
559,58,645,647,652,656,724,470,598,81
58,645,647,652,656,724,1229,470,559,598
58,645,647,652,656,724,1229,470,559,598
58,645,647,652,656,724,1229,470,559,598
58,645,647,652,656,724,470,559,598,89
58,645,647,652,656,724,470,559,598,89
58,645,647,652,656,724,470,559,598,1086
559,569,645,647,652,656,721,724,725,1025
819,820,827,1931,1947,1955,1995,2083,2091,2099
20,2570,2609,2612,2619,2628,19,2561,2563,2564
19,2563,2564,2571,2595,2612,2625,2682,2697,26
2603,2612,2627,2660,19,20,2561,2563,2564,2569
2577,2579,2609,2625,2660,19,20,2561,2563,2564
19,2563,2609,2612,2625,1331,20,2561,2562,2564
20,2603,2609,2643,18,19,2561,2562,2563,2564
19,2564,2603,2609,2612,2625,20,2561,2562,2563
19,2563,2564,2577,2587,2612,2633,2660,20,2561
20,2563,2587,2593,19,2561,2564,2569,2570,2571
678,847,207,35,37,39,757,848,193,194
678,847,848,207,33,35,37,43,45,193
2593,19,20,2561,2562,2563,2564,2571,2577,2578
2595,19,2561,2563,2564,2571,2577,2579,2587,2588
2593,19,20,2563,2564,2571,2577,2579,2580,2595
19,20,2563,2577,2579,2580,2593,2595,2596,2609
19,20,2561,2562,2563,2564,2577,2578,2579,2580
19,2561,2563,2564,2577,2579,2580,2593,2595,2596
19,20,2561,2563,2564,2577,2578,2579,2580,2593
2579,2627,19,2563,2564,2577,2578,2593,2595,2596
19,20,2561,2563,2564,2577,2579,2593,2595,2602
19,20,2562,2564,2569,2577,2579,2587,2593,2596
19,20,2563,2564,2569,2577,2579,2585,2593,2602
19,2563,2564,2578,2579,2580,2593,2611,2625,2627
